Pressure (psi),PI (psi/bbl),Initial Watercut (%),GOR (scf/stb),Temperature Res. (F),ID tubing (in),FTP(Flowing Tubing Pressure) (psig),Killing Fluid (psi/),Max CHP (Psig),Gas Gravity,API,Depth of Reservoir,Depth of Tubing,Max Depth Injection,AOF (STB/d),Max Oil Rate (STB/d),Injected Gas Rate (MMscf/D),Injection Pressure (psig),Liquid rate (STB/d)
514.98,2.156,15.73,254.939,173.56,2.359185492,104.48,0.51,682.17,1.058,46.982,3365,2870,2810,626.7,433.848,0.49504,557.16,514.837
518.18,0.723,26.2,209.844,174.04,2.374101834,91.76,0.621,696.34,0.708,42.132,3248,2875,2815,214.1,134.961,0.46662,521.344,182.881
518.49,1.429,27.27,214.476,169.78,2.447687228,106.22,0.44,685.36,1.035,43.738,3291,2791,2731,422.1,226.891,0.085472,560.36,311.963
520.53,0.819,27.26,258.1,173.66,2.319523852,97.54,0.438,690.58,0.849,40.835,3109,2654,2594,244.1,147.938,0.5374,615.57,203.351
520.94,1.471,8.45,203.26,178.52,2.414549661,105.64,0.428,692.48,0.766,45.709,3233,2824,2764,428.8,294.436,0.061371,567.48,321.612
521.41,1.686,14.25,214.103,176.95,2.609636796,102.93,0.529,693.61,0.855,44.205,3353,2812,2752,495.3,354.735,0.54032,568.61,413.637
521.54,0.607,22.91,225.908,174.93,2.411073828,102.05,0.513,691.57,0.883,44.412,3268,2837,2777,180.1,116.751,0.51395,566.574,151.452
522.77,1.461,14.22,194.064,172.77,2.234338162,98.04,0.54,691.41,0.924,45.106,3254,2696,2636,430.3,276.604,0.067665,566.41,322.42
523.25,1.559,24.68,226.253,169.08,2.469368995,101.03,0.463,687.3,0.949,48.725,3273,2852,2792,465.6,262.783,0.036997,562.301,348.889
523.89,1.141,22.24,256.05,174.48,2.464036867,96.12,0.512,691.29,0.88,45.633,3202,2784,2724,340,223.403,0.48942,566.285,287.284
524.96,1.443,14.7,220.586,174.81,2.475380056,103.08,0.407,691.98,0.619,37.36,3106,2900,2840,426.2,274.675,0.054668,566.98,321.973
525.02,1.083,25.04,229.183,175.32,2.306506146,100.95,0.431,696.86,0.844,44.19,3345,2656,2596,324.9,201.637,0.54615,621.861,269.007
525.74,1.417,24.87,198.055,176.08,2.447286135,100.85,0.605,692.93,0.874,46.513,3376,2925,2865,425.3,242.966,0.045888,517.928,323.351
526.95,1.493,26.1,213.853,175.29,2.607662025,105.09,0.338,694,0.91,43.986,3348,2778,2718,450.3,249.28,0.075914,618.99,337.325
